ID de Usuario,G+AOo-nero,Idade,Profissao
1,Masculino,22,Aeronauta
2,Masculino,21,Estudante
3,Masculino,31,Engenheiro
4,Feminino,21,Orientadora Habitacional
5,Feminino,63,Aposentada
6,Masculino,21,Estudante
7,Masculino,21,Estudante
8,Masculino,21,Estudante
9,Masculino,23,Estudante
10,Feminino,20,Estudante
11,Masculino,20,Estudante
12,Masculino,20,Estudante
13,Feminino,27,Engenheira
14,Masculino,22,Cientista da Computacao
15,Masculino,24,Estudante
16,Feminino,23,Estudante
17,Masculino,26 anos,Engenheiro mecanico
18,Masculino,20,Estudante
19,Masculino,26,Engenheiro
20,Masculino,59,Aposentado
