2,final_de_semana,sozinho,nao_esta_sentado,tarde,iluminada,fria,ligada,Nao
8,final_de_semana,sozinho,sentado,tarde,escura,moderada,ligada,Sim
2,final_de_semana,acompanhado,sentado,madrugada,escura,fria,desligada,Nao
2,dia_da_semana,acompanhado,nao_esta_sentado,tarde,escura,quente,ligada,Nao
3,dia_da_semana,sozinho,nao_esta_sentado,tarde,iluminada,quente,desligada,Nao
15,final_de_semana,sozinho,nao_esta_sentado,noite,iluminada,fria,desligada,Nao
5,dia_da_semana,sozinho,nao_esta_sentado,manha,escura,moderada,ligada,Nao
16,dia_da_semana,sozinho,nao_esta_sentado,noite,escura,moderada,desligada,Nao
1,final_de_semana,acompanhado,nao_esta_sentado,manha,escura,quente,desligada,Nao
12,final_de_semana,sozinho,sentado,manha,escura,fria,desligada,Sim
